Change,Excluded,Name,Original,en,fr
,,,[Magic Equipment] A robe inscribed with runic letters.,[Magic Equipment] A robe inscribed with runic letters.,[Magic Equipment] A robe inscribed with runic letters.
,,,Sage’s Robe,Sage’s Robe,Sage’s Robe
,,,"[Magic Equipment] A robe interwoven with magical
powers.","[Magic Equipment] A robe interwoven with magical
powers.","[Magic Equipment] A robe interwoven with magical
powers."
,,,Elemental Cloak,Elemental Cloak,Elemental Cloak
,,,"[Magic Equipment] A cloak that houses the power of
spirits.","[Magic Equipment] A cloak that houses the power of
spirits.","[Magic Equipment] A cloak that houses the power of
spirits."
,,,-----Shields,-----Shields,-----Shields
,,,Buckler,Buckler,Buckler
,,,[Small Shield] A small shield for deflecting attacks.,[Small Shield] A small shield for deflecting attacks.,[Small Shield] A small shield for deflecting attacks.
,,,Round Buckler,Round Buckler,Round Buckler
,,,"[Small Shield] A round, wooden shield reinforced
with an iron frame.","[Small Shield] A round, wooden shield reinforced
with an iron frame.","[Small Shield] A round, wooden shield reinforced
with an iron frame."
,,,Spiked Buckler,Spiked Buckler,Spiked Buckler
,,,"[Small Shield] A round shield with attack spikes
attached.","[Small Shield] A round shield with attack spikes
attached.","[Small Shield] A round shield with attack spikes
attached."
,,,Mithril Buckler,Mithril Buckler,Mithril Buckler
,,,[Small Shield] A small shield made of mithril.,[Small Shield] A small shield made of mithril.,[Small Shield] A small shield made of mithril.
,,,Dragon Buckler,Dragon Buckler,Dragon Buckler
,,,[Small Shield] A small shield made of dragon scales.,[Small Shield] A small shield made of dragon scales.,[Small Shield] A small shield made of dragon scales.
,,,Wooden Shield,Wooden Shield,Wooden Shield
,,,"[Large Shield] A large, average wooden shield.","[Large Shield] A large, average wooden shield.","[Large Shield] A large, average wooden shield."
,,,Bronze Shield,Bronze Shield,Bronze Shield
,,,[Large Shield] A large shield made of bronze plates.,[Large Shield] A large shield made of bronze plates.,[Large Shield] A large shield made of bronze plates.
,,,Iron Shield,Iron Shield,Iron Shield
,,,[Large Shield] A large shield made of iron steel.,[Large Shield] A large shield made of iron steel.,[Large Shield] A large shield made of iron steel.
,,,Mithril Shield,Mithril Shield,Mithril Shield
,,,[Large Shield] A large shield made of mithril.,[Large Shield] A large shield made of mithril.,[Large Shield] A large shield made of mithril.
,,,Dragon Shield,Dragon Shield,Dragon Shield
,,,[Large Shield] A large shield made of dragon scales.,[Large Shield] A large shield made of dragon scales.,[Large Shield] A large shield made of dragon scales.
,,,Wooden Bangle,Wooden Bangle,Wooden Bangle
,,,"[Magic Equipment] A bangle enchanted with protective
magic.","[Magic Equipment] A bangle enchanted with protective
magic.","[Magic Equipment] A bangle enchanted with protective
magic."
,,,Bronze Bangle,Bronze Bangle,Bronze Bangle
,,,Iron Bangle,Iron Bangle,Iron Bangle
,,,Mithril Bangle,Mithril Bangle,Mithril Bangle
,,,Dragon Bangle,Dragon Bangle,Dragon Bangle
,,,-----Helmets,-----Helmets,-----Helmets
,,,Bandana,Bandana,Bandana
,,,"[General Equipment] A cloth headband for protecting
the forehead.","[General Equipment] A cloth headband for protecting
the forehead.","[General Equipment] A cloth headband for protecting
the forehead."
,,,Leather Bandana,Leather Bandana,Leather Bandana
,,,"[General Equipment] A leather headband for protecting
the forehead.","[General Equipment] A leather headband for protecting
the forehead.","[General Equipment] A leather headband for protecting
the forehead."
,,,Leather Hat,Leather Hat,Leather Hat
,,,[General Equipment] A hat made of leather.,[General Equipment] A hat made of leather.,[General Equipment] A hat made of leather.
,,,Turban,Turban,Turban
,,,"[General Equipment] A thick cloth layered and wrapped
around the head for protection.","[General Equipment] A thick cloth layered and wrapped
around the head for protection.","[General Equipment] A thick cloth layered and wrapped
around the head for protection."
,,,Feathered Hat,Feathered Hat,Feathered Hat
,,,"[General Equipment] A fancy hat with bird feathers
attached.","[General Equipment] A fancy hat with bird feathers
attached.","[General Equipment] A fancy hat with bird feathers
attached."
,,,Leather Cap,Leather Cap,Leather Cap
,,,[Light Equipment] A hat made of tanned hide.,[Light Equipment] A hat made of tanned hide.,[Light Equipment] A hat made of tanned hide.
,,,Wooden Cap,Wooden Cap,Wooden Cap
,,,[Light Equipment] A light helmet made of wood.,[Light Equipment] A light helmet made of wood.,[Light Equipment] A light helmet made of wood.
,,,Bronze Cap,Bronze Cap,Bronze Cap
,,,"[Light Equipment] A light helmet reinforced with
bronze plates.","[Light Equipment] A light helmet reinforced with
bronze plates.","[Light Equipment] A light helmet reinforced with
bronze plates."
,,,Iron Cap,Iron Cap,Iron Cap
,,,"[Light Equipment] A light helmet reinforced with
iron plates.","[Light Equipment] A light helmet reinforced with
iron plates.","[Light Equipment] A light helmet reinforced with
iron plates."
,,,Mithril Cap,Mithril Cap,Mithril Cap
,,,"[Light Equipment] A light helmet reinforced with
mithril.","[Light Equipment] A light helmet reinforced with
mithril.","[Light Equipment] A light helmet reinforced with
mithril."
,,,Dragon Cap,Dragon Cap,Dragon Cap
,,,"[Light Equipment] A light helmet reinforced with
dragon scales.","[Light Equipment] A light helmet reinforced with
dragon scales.","[Light Equipment] A light helmet reinforced with
dragon scales."
,,,Chainmail Coif,Chainmail Coif,Chainmail Coif
,,,"[Heavy Equipment] A hood made with fine, woven chains.","[Heavy Equipment] A hood made with fine, woven chains.","[Heavy Equipment] A hood made with fine, woven chains."
,,,Bronze Helm,Bronze Helm,Bronze Helm
,,,"[Heavy Equipment] A helmet made with thick bronze
plates.","[Heavy Equipment] A helmet made with thick bronze
plates.","[Heavy Equipment] A helmet made with thick bronze
plates."
,,,Iron Helm,Iron Helm,Iron Helm
,,,"[Heavy Equipment] A helmet made with thick iron
plates.","[Heavy Equipment] A helmet made with thick iron
plates.","[Heavy Equipment] A helmet made with thick iron
plates."
,,,Mithril Helm,Mithril Helm,Mithril Helm
,,,[Heavy Equipment] A helmet made of mithril.,[Heavy Equipment] A helmet made of mithril.,[Heavy Equipment] A helmet made of mithril.
,,,Dragon Helm,Dragon Helm,Dragon Helm
,,,[Heavy Equipment] A helmet made with dragon scales.,[Heavy Equipment] A helmet made with dragon scales.,[Heavy Equipment] A helmet made with dragon scales.
,,,Pointed Hat,Pointed Hat,Pointed Hat
,,,"[Magic Equipment] A triangular, tanned hide hat with
a wide brim.","[Magic Equipment] A triangular, tanned hide hat with
a wide brim.","[Magic Equipment] A triangular, tanned hide hat with
a wide brim."
,,,Circlet,Circlet,Circlet
,,,"[Magic Equipment] A simple crown enchanted with
protective magic.","[Magic Equipment] A simple crown enchanted with
protective magic.","[Magic Equipment] A simple crown enchanted with
protective magic."
,,,Silver Circlet,Silver Circlet,Silver Circlet
,,,"[Magic Equipment] A silver crown enchanted with
protective magic.","[Magic Equipment] A silver crown enchanted with
protective magic.","[Magic Equipment] A silver crown enchanted with
protective magic."
,,,Gold Circlet,Gold Circlet,Gold Circlet
,,,"[Magic Equipment] A pure gold crown enchanted with
protective magic.","[Magic Equipment] A pure gold crown enchanted with
protective magic.","[Magic Equipment] A pure gold crown enchanted with
protective magic."
,,,Mithril Circlet,Mithril Circlet,Mithril Circlet
,,,"[Magic Equipment] A mithril crown enchanted with
protective magic.","[Magic Equipment] A mithril crown enchanted with
protective magic.","[Magic Equipment] A mithril crown enchanted with
protective magic."
,,,Master Circlet,Master Circlet,Master Circlet
,,,"[Magic Equipment] A sage’s crown enchanted with
protective magic.","[Magic Equipment] A sage’s crown enchanted with
protective magic.","[Magic Equipment] A sage’s crown enchanted with
protective magic."
,,,-----Accessories,-----Accessories,-----Accessories
,,,Guard Stone,Guard Stone,Guard Stone
,,,[Accessory] A charm that increases Defense.,[Accessory] A charm that increases Defense.,[Accessory] A charm that increases Defense.
,,,Guard Ring,Guard Ring,Guard Ring
,,,[Accessory] A ring that increases Defense.,[Accessory] A ring that increases Defense.,[Accessory] A ring that increases Defense.
,,,Power Stone,Power Stone,Power Stone
,,,[Accessory] A charm that increases Attack.,[Accessory] A charm that increases Attack.,[Accessory] A charm that increases Attack.
,,,Power Ring,Power Ring,Power Ring
,,,[Accessory] A ring that increases Attack.,[Accessory] A ring that increases Attack.,[Accessory] A ring that increases Attack.
,,,Speed Stone,Speed Stone,Speed Stone
,,,[Accessory] A charm that increases Agility.,[Accessory] A charm that increases Agility.,[Accessory] A charm that increases Agility.
,,,Speed Ring,Speed Ring,Speed Ring
,,,[Accessory] A ring that increases Agility.,[Accessory] A ring that increases Agility.,[Accessory] A ring that increases Agility.
,,,Lucky Stone,Lucky Stone,Lucky Stone
,,,[Accessory] A charm that increases Luck.,[Accessory] A charm that increases Luck.,[Accessory] A charm that increases Luck.
,,,Lucky Ring,Lucky Ring,Lucky Ring
,,,[Accessory] A ring that increases Luck.,[Accessory] A ring that increases Luck.,[Accessory] A ring that increases Luck.
,,,Magical Stone,Magical Stone,Magical Stone
,,,[Accessory] A charm that increases M.Attack.,[Accessory] A charm that increases M.Attack.,[Accessory] A charm that increases M.Attack.
,,,Magical Ring,Magical Ring,Magical Ring
,,,[Accessory] A ring that increases M.Attack.,[Accessory] A ring that increases M.Attack.,[Accessory] A ring that increases M.Attack.
,,,Shooter Stone,Shooter Stone,Shooter Stone
,,,"[Accessory] A charm that increases the Hit Rate of
attacks.","[Accessory] A charm that increases the Hit Rate of
attacks.","[Accessory] A charm that increases the Hit Rate of
attacks."
,,,Shooter Ring,Shooter Ring,Shooter Ring
,,,"[Accessory] A ring that increases the Hit Rate of
attacks.","[Accessory] A ring that increases the Hit Rate of
attacks.","[Accessory] A ring that increases the Hit Rate of
attacks."
,,,Master Stone,Master Stone,Master Stone
,,,[Accessory] A charm that reduces MP Cost by 20%.,[Accessory] A charm that reduces MP Cost by 20%.,[Accessory] A charm that reduces MP Cost by 20%.
,,,Master Ring,Master Ring,Master Ring
,,,[Accessory] A ring that reduces MP Cost by 50%.,[Accessory] A ring that reduces MP Cost by 50%.,[Accessory] A ring that reduces MP Cost by 50%.
,,,Poison Guard,Poison Guard,Poison Guard
,,,"[Accessory] A ring that helps prevent Poison and
Paralysis states.","[Accessory] A ring that helps prevent Poison and
Paralysis states.","[Accessory] A ring that helps prevent Poison and
Paralysis states."
,,,Super Poison Guard,Super Poison Guard,Super Poison Guard
,,,"[Accessory] A ring that entirely prevents Poison
and Paralysis states.","[Accessory] A ring that entirely prevents Poison
and Paralysis states.","[Accessory] A ring that entirely prevents Poison
and Paralysis states."
,,,Mental Guard,Mental Guard,Mental Guard
,,,"[Accessory] A ring that helps prevent Sleep,
Silence, Confusion, Charm, and Rage states.","[Accessory] A ring that helps prevent Sleep,
Silence, Confusion, Charm, and Rage states.","[Accessory] A ring that helps prevent Sleep,
Silence, Confusion, Charm, and Rage states."
,,,Super Mental Guard,Super Mental Guard,Super Mental Guard
,,,"[Accessory] A ring that entirely prevents Sleep,
Silence, Confusion, Charm, and Rage states.","[Accessory] A ring that entirely prevents Sleep,
Silence, Confusion, Charm, and Rage states.","[Accessory] A ring that entirely prevents Sleep,
Silence, Confusion, Charm, and Rage states."
,,,Enemy Radar,Enemy Radar,Enemy Radar
,,,"[Accessory] Raises the chance of performing a
preemptive attack.","[Accessory] Raises the chance of performing a
preemptive attack.","[Accessory] Raises the chance of performing a
preemptive attack."
,,,Warning Bell,Warning Bell,Warning Bell
,,,[Accessory] Prevents surprise attacks.,[Accessory] Prevents surprise attacks.,[Accessory] Prevents surprise attacks.
,,,Stocker,Stocker,Stocker
,,,"[Accessory] Allows you to carryover TP over into the
next battle.","[Accessory] Allows you to carryover TP over into the
next battle.","[Accessory] Allows you to carryover TP over into the
next battle."
,,,Ring of Guts,Ring of Guts,Ring of Guts
,,,[Accessory] Increases TP Charge Rate.,[Accessory] Increases TP Charge Rate.,[Accessory] Increases TP Charge Rate.
,,,MP Keeper,MP Keeper,MP Keeper
,,,[Accessory] Decreases MP Cost Rate.,[Accessory] Decreases MP Cost Rate.,[Accessory] Decreases MP Cost Rate.
,,,Elemental Guard,Elemental Guard,Elemental Guard
,,,"[Accessory] Damage inflicted by Fire, Water, Wind,
and Earth attacks is halved.","[Accessory] Damage inflicted by Fire, Water, Wind,
and Earth attacks is halved.","[Accessory] Damage inflicted by Fire, Water, Wind,
and Earth attacks is halved."
,,,Spectacles,Spectacles,Spectacles
,,,[Accessory] Sharpens eyesight and increases hit rate.,[Accessory] Sharpens eyesight and increases hit rate.,[Accessory] Sharpens eyesight and increases hit rate.
,,,"
[Enemies]
","
[Enemies]
","
[Enemies]
"
,,,Goblin,Goblin,Goblin
,,,Gnome,Gnome,Gnome
,,,Crow,Crow,Crow
,,,Treant,Treant,Treant
,,,Hi_monster,Hi_monster,Hi_monster
,,,"
[States]
","
[States]
","
[States]
"
,,,Dead,Dead,Dead
,,,%1 has fallen!,%1 has fallen!,%1 has fallen!
,,,%1 is slain!,%1 is slain!,%1 is slain!
,,,%1 revives!,%1 revives!,%1 revives!
,,,Immortal,Immortal,Immortal
,,,%1 is poisoned!,%1 is poisoned!,%1 is poisoned!
,,,%1 is no longer poisoned!,%1 is no longer poisoned!,%1 is no longer poisoned!
,,,%1 is blinded!,%1 is blinded!,%1 is blinded!
,,,%1 is no longer blinded!,%1 is no longer blinded!,%1 is no longer blinded!
,,,%1 is silenced!,%1 is silenced!,%1 is silenced!
,,,%1 is no longer silenced!,%1 is no longer silenced!,%1 is no longer silenced!
,,,Rage,Rage,Rage
,,,%1 is enraged!,%1 is enraged!,%1 is enraged!
,,,%1 is no longer enraged!,%1 is no longer enraged!,%1 is no longer enraged!
,,,Confusion,Confusion,Confusion
,,,%1 is confused!,%1 is confused!,%1 is confused!
,,,%1 is no longer confused!,%1 is no longer confused!,%1 is no longer confused!
,,,Charm,Charm,Charm
,,,%1 is charmed!,%1 is charmed!,%1 is charmed!
,,,%1 is no longer charmed!,%1 is no longer charmed!,%1 is no longer charmed!
,,,%1 falls asleep!,%1 falls asleep!,%1 falls asleep!
,,,%1 is sleeping.,%1 is sleeping.,%1 is sleeping.
,,,%1 wakes up!,%1 wakes up!,%1 wakes up!
,,,Paralysis,Paralysis,Paralysis
,,,%1 is paralyzed and can’t move!,%1 is paralyzed and can’t move!,%1 is paralyzed and can’t move!
,,,%1 is paralyzed!,%1 is paralyzed!,%1 is paralyzed!
,,,%1 is no longer paralyzed!,%1 is no longer paralyzed!,%1 is no longer paralyzed!
,,,Stun,Stun,Stun
,,,%1 lost balance!,%1 lost balance!,%1 lost balance!
,,,%1 is still off-balance...,%1 is still off-balance...,%1 is still off-balance...
,,,%1 has regained balance!,%1 has regained balance!,%1 has regained balance!
,,,HP Regeneration,HP Regeneration,HP Regeneration
,,,MP Regeneration,MP Regeneration,MP Regeneration
,,,TP Regeneration,TP Regeneration,TP Regeneration
,,,Magic Reflection,Magic Reflection,Magic Reflection
,,,Provoke,Provoke,Provoke
,,,%1 became easier to hit!,%1 became easier to hit!,%1 became easier to hit!
,,,%1 became harder to hit!,%1 became harder to hit!,%1 became harder to hit!
,,,Counter Attack,Counter Attack,Counter Attack
,,,Status Ailment Block,Status Ailment Block,Status Ailment Block
,,,Reduce MP Cost,Reduce MP Cost,Reduce MP Cost
,,,Fire Force,Fire Force,Fire Force
,,,%1 is now enveloped in an aura of fire.,%1 is now enveloped in an aura of fire.,%1 is now enveloped in an aura of fire.
,,,Ice Force,Ice Force,Ice Force
,,,%1 is now enveloped in an icy aura.,%1 is now enveloped in an icy aura.,%1 is now enveloped in an icy aura.
,,,Thunder Force,Thunder Force,Thunder Force
,,,%1 is now enveloped in a thunderous aura.,%1 is now enveloped in a thunderous aura.,%1 is now enveloped in a thunderous aura.
,,,Half Encounters,Half Encounters,Half Encounters
,,,Double Money/Items,Double Money/Items,Double Money/Items
,,,"
[Types]
","
[Types]
","
[Types]
"
,,,Dagger,Dagger,Dagger
,,,Sword,Sword,Sword
,,,Flail,Flail,Flail
,,,Axe,Axe,Axe
,,,Whip,Whip,Whip
,,,Staff,Staff,Staff
,,,Bow,Bow,Bow
,,,Gun,Gun,Gun
,,,Claw,Claw,Claw
,,,Glove,Glove,Glove
,,,Spear,Spear,Spear
,,,General Armor,General Armor,General Armor
,,,Magic Armor,Magic Armor,Magic Armor
,,,Light Armor,Light Armor,Light Armor
,,,Heavy Armor,Heavy Armor,Heavy Armor
,,,Small Shield,Small Shield,Small Shield
,,,Large Shield,Large Shield,Large Shield
,,,Weapon,Weapon,Weapon
,,,Shield,Shield,Shield
,,,Head,Head,Head
,,,Body,Body,Body
,,,Accessory,Accessory,Accessory
,,,Magic,Magic,Magic
,,,Special,Special,Special
,,,"
[Terms]
","
[Terms]
","
[Terms]
"
,,,Level,Level,Level
,,,Lv,Lv,Lv
,,,HP,HP,HP
,,,MP,MP,MP
,,,TP,TP,TP
,,,EXP,EXP,EXP
,,,Fight,Fight,Fight
,,,Item,Item,Item
,,,Skill,Skill,Skill
,,,Equip,Equip,Equip
,,,Status,Status,Status
,,,Formation,Formation,Formation
,,,Save,Save,Save
,,,Game End,Game End,Game End
,,,Options,Options,Options
,,,Armor,Armor,Armor
,,,Key Item,Key Item,Key Item
,,,Optimize,Optimize,Optimize
,,,Clear,Clear,Clear
,,,New Game,New Game,New Game
,,,Continue,Continue,Continue
,,,To Title,To Title,To Title
,,,Cancel,Cancel,Cancel
,,,Buy,Buy,Buy
,,,Sell,Sell,Sell
,,,Max HP,Max HP,Max HP
,,,Max MP,Max MP,Max MP
,,,Defense,Defense,Defense
,,,M.Attack,M.Attack,M.Attack
,,,M.Defense,M.Defense,M.Defense
,,,Agility,Agility,Agility
,,,Luck,Luck,Luck
,,,Hit,Hit,Hit
,,,Evasion,Evasion,Evasion
,,,"
[System Messages]
","
[System Messages]
","
[System Messages]
"
,,,Always Dash,Always Dash,Always Dash
,,,Command Remember,Command Remember,Command Remember
,,,Touch UI,Touch UI,Touch UI
,,,BGM Volume,BGM Volume,BGM Volume
,,,BGS Volume,BGS Volume,BGS Volume
,,,ME Volume,ME Volume,ME Volume
,,,SE Volume,SE Volume,SE Volume
,,,Possession,Possession,Possession
,,,Current %1,Current %1,Current %1
,,,To Next %1,To Next %1,To Next %1
,,,Which file would you like to save to?,Which file would you like to save to?,Which file would you like to save to?
,,,Which file would you like to load?,Which file would you like to load?,Which file would you like to load?
,,,File,File,File
,,,Autosave,Autosave,Autosave
,,,%1’s Party,%1’s Party,%1’s Party
,,,%1 emerged!,%1 emerged!,%1 emerged!
,,,%1 got the upper hand!,%1 got the upper hand!,%1 got the upper hand!
,,,%1 was surprised!,%1 was surprised!,%1 was surprised!
,,,%1 has started to escape!,%1 has started to escape!,%1 has started to escape!
,,,"However, it was unable to escape!","However, it was unable to escape!","However, it was unable to escape!"
,,,%1 was victorious!,%1 was victorious!,%1 was victorious!
,,,%1 was defeated.,%1 was defeated.,%1 was defeated.
,,,%1 %2 received!,%1 %2 received!,%1 %2 received!
,,,%1\G found!,%1\G found!,%1\G found!
,,,%1 found!,%1 found!,%1 found!
,,,%1 is now %2 %3!,%1 is now %2 %3!,%1 is now %2 %3!
,,,%1 learned!,%1 learned!,%1 learned!
,,,An excellent hit!!,An excellent hit!!,An excellent hit!!
,,,A painful blow!!,A painful blow!!,A painful blow!!
,,,%1 took %2 damage!,%1 took %2 damage!,%1 took %2 damage!
,,,%1 recovered %2 %3!,%1 recovered %2 %3!,%1 recovered %2 %3!
,,,%1 gained %2 %3!,%1 gained %2 %3!,%1 gained %2 %3!
,,,%1 lost %2 %3!,%1 lost %2 %3!,%1 lost %2 %3!
,,,%1 was drained of %2 %3!,%1 was drained of %2 %3!,%1 was drained of %2 %3!
,,,%1 took no damage!,%1 took no damage!,%1 took no damage!
,,,Miss! %1 took no damage!,Miss! %1 took no damage!,Miss! %1 took no damage!
,,,%1 evaded the attack!,%1 evaded the attack!,%1 evaded the attack!
,,,%1 nullified the magic!,%1 nullified the magic!,%1 nullified the magic!
,,,%1 reflected the magic!,%1 reflected the magic!,%1 reflected the magic!
,,,%1 made a counterattack!,%1 made a counterattack!,%1 made a counterattack!
,,,%1 protected %2!,%1 protected %2!,%1 protected %2!
,,,%1’s %2 went up!,%1’s %2 went up!,%1’s %2 went up!
,,,%1’s %2 went down!,%1’s %2 went down!,%1’s %2 went down!
,,,%1’s %2 returned to normal!,%1’s %2 returned to normal!,%1’s %2 returned to normal!
,,,There was no effect on %1!,There was no effect on %1!,There was no effect on %1!
,,,"
[TROOPS]
","
[TROOPS]
","
[TROOPS]
"
,,[DATABASE ENTRIES],,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]Where... am I?","\portrait[Aiden]\pscale[1]\poff[60,20]Where... am I?","\portrait[Aiden]\pscale[1]\poff[60,20]Où suis-je?"
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]It's so empty here...","\portrait[Aiden]\pscale[1]\poff[60,20]It's so empty here...","\portrait[Aiden]\pscale[1]\poff[60,20]It's so empty here..."
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]Am I dead? Or is this a dream?
I can't feel anything...","\portrait[Aiden]\pscale[1]\poff[60,20]Am I dead? Or is this a dream?
I can't feel anything...","\portrait[Aiden]\pscale[1]\poff[60,20]Am I dead? Or is this a dream?
I can't feel anything..."
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]What was that? It felt so familiar...","\portrait[Aiden]\pscale[1]\poff[60,20]What was that? It felt so familiar...","\portrait[Aiden]\pscale[1]\poff[60,20]What was that? It felt so familiar..."
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]Urgh... My head... It hurts...","\portrait[Aiden]\pscale[1]\poff[60,20]Urgh... My head... It hurts...","\portrait[Aiden]\pscale[1]\poff[60,20]Urgh... My head... It hurts..."
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[60,20](a strange voice)
Oh, but by 'myself,' I mean...\| well, isn't that 
something for you to figure out? Haha!",,
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20](What does he mean?)","\portrait[Aiden]\pscale[1]\poff[60,20](What does he mean?)","\portrait[Aiden]\pscale[1]\poff[60,20](What does he mean?)"
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]The Oblivium?","\portrait[Aiden]\pscale[1]\poff[60,20]The Oblivium?","\portrait[Aiden]\pscale[1]\poff[60,20]The Oblivium?"
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]...","\portrait[Aiden]\pscale[1]\poff[60,20]...","\portrait[Aiden]\pscale[1]\poff[60,20]..."
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20](Who am I...? Why can't I remember anything?)","\portrait[Aiden]\pscale[1]\poff[60,20](Who am I...? Why can't I remember anything?)","\portrait[Aiden]\pscale[1]\poff[60,20](Who am I...? Why can't I remember anything?)"
,,???,"\portrait[Aiden]\pscale[1]\poff[60,20]Aiden... My name is Aiden, I think...","\portrait[Aiden]\pscale[1]\poff[60,20]Aiden... My name is Aiden, I think...","\portrait[Aiden]\pscale[1]\poff[60,20]Aiden... My name is Aiden, I think..."
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[60,20](a strange voice) 
Haha! The kid's funny, trying to remember!",,
,,The Host,"\portrait[The-Host2]\pscale[1]\poff[60,20](a strange voice)
Haha!",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Elderly Man,"You fixed this bridge alone? Impressive! 
We’re almost there, I can feel it.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,,He will never succeed.,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Grandma,${Grandma.text8},${Grandma.text8},${Grandma.text8}
,,LittleAiden,${littleaiden.text4},${littleaiden.text4},${littleaiden.text4}
,,Grandma,${Grandma.text9},${Grandma.text9},${Grandma.text9}
,,LittleAiden,${littleaiden.text5},${littleaiden.text5},${littleaiden.text5}
,,LittleAiden,${littleaiden.text52},${littleaiden.text52},${littleaiden.text52}
,,Grandma,${Grandma.text10},${Grandma.text10},${Grandma.text10}
,,LittleAiden,${littleaiden.text6},${littleaiden.text6},${littleaiden.text6}
,,Grandma,${Grandma.text11},${Grandma.text11},${Grandma.text11}
,,LittleAiden,${littleaiden.text7},${littleaiden.text7},${littleaiden.text7}
,,Grandma,${Grandma.text12},${Grandma.text12},${Grandma.text12}
,,LittleAiden,${littleaiden.text8},${littleaiden.text8},${littleaiden.text8}
,,LittleAiden,${littleaiden.text9},${littleaiden.text9},${littleaiden.text9}
,,Grandma,${Grandma.text13},${Grandma.text13},${Grandma.text13}
,,LittleAiden,${littleaiden.text10},${littleaiden.text10},${littleaiden.text10}
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Aiden,"Ugh, the bridge seems to be broken. What should I do?\|
*I have a feeling this could affect my mind 
or my memories.*",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Aiden,"Ugh, the bridge seems to be broken.
What should I do?\|
*I have a feeling this could affect
my mind or my memories.*",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]This feels off... I guess I should start over.",,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,"[GARBAGE AND 
CUSTOM LINES]",,,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]Ah, so you’re the newcomer... Aiden.
You’re later than I expected. I’ve been 
waiting for you for many years.",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]Waiting for me? But I don’t even know you...
And where am I, anyway? This house just 
appeared out of nowhere!",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]You’re in the Oblivium, a place that exists 
between what was and what is yet to be.",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]I don’t understand...",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]Are you alright, child? I’ve been calling you,
but you didn’t respond.",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]You... I’ve seen you before... Ahh, my head...",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]Migraines? Let me take a look.",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]Music... It’s curious, isn’t it? It can help 
find balance, align body and mind.",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]You seem calmer now. Tell me, Aiden, 
can you recall what day it is?",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]I... I don’t know...",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]What do you remember?",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]Nothing...",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]I see... Near-total amnesia. Perhaps it’s
not such a bad thing...",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]The Oblivium is a strange place...
And a generous one. It will allow you to 
reclaim your memories, one by one.",,
,,The Healer,"\portrait[Grandma]\pscale[1]\poff[60,20]Here, everything changes based on your feelings.
But be careful. What you recover isn’t just an
image of the past, it’s a reflection of yourself.",,
,,Aiden,"\portrait[Aiden]\pscale[1]\poff[60,20]A reflection?",,
